# 30 placed instances  (internal units; microns = x*0.005)
# inst   cell                     x_int   y_int     x_um    y_um
  x1     JNWTR_RES2                5096    1736    25.48    8.68
  x2     JNWTR_RES4                5096    2956    25.48   14.78
  M26    LELO_NCH_0p96x0p36        8218    3126    41.09   15.63
  M14    LELO_NCH_0p96x0p36        8494    3127    42.47   15.63
  M13    LELO_NCH_0p96x0p36        8786    3127    43.93   15.63
  M12    LELO_NCH_0p96x0p36        9078    3127    45.39   15.63
  M11    LELO_NCH_0p96x0p36        9370    3127    46.85   15.63
  M10    LELO_NCH_0p96x0p36        9662    3127    48.31   15.63
  M4     LELO_NCH_2p4x0p54         8512    3682    42.56   18.41
  M3     LELO_NCH_2p4x0p54         8804    3682    44.02   18.41
  M2     LELO_NCH_2p4x0p54         9096    3682    45.48   18.41
  M1     LELO_NCH_2p4x0p54         9388    3682    46.94   18.41
  M0     LELO_NCH_2p4x0p54         9680    3682    48.40   18.41
  M20    LELO_NCH_1p2x0p18         9941    3802    49.70   19.01
  M21    LELO_NCH_1p2x0p18        10194    3802    50.97   19.01
  M27    LELO_NCH_96x0p9           6555    4345    32.77   21.73
  M9     LELO_PCH_4p8x0p54         8512    4764    42.56   23.82
  M8     LELO_PCH_4p8x0p54         8804    4764    44.02   23.82
  M7     LELO_PCH_4p8x0p54         9096    4764    45.48   23.82
  M6     LELO_PCH_4p8x0p54         9388    4764    46.94   23.82
  M5     LELO_PCH_4p8x0p54         9680    4764    48.40   23.82
  M23    LELO_PCH_4p8x0p18         9941    4764    49.70   23.82
  M22    LELO_PCH_4p8x0p18        10194    4763    50.97   23.82
  M25    LELO_PCH_2p4x0p36         7747    5904    38.73   29.52
  M24    LELO_PCH_4p8x0p36         8218    6144    41.09   30.72
  M19    LELO_PCH_4p8x0p36         8494    6144    42.47   30.72
  M18    LELO_PCH_4p8x0p36         8786    6144    43.93   30.72
  M17    LELO_PCH_4p8x0p36         9078    6144    45.39   30.72
  M16    LELO_PCH_4p8x0p36         9370    6144    46.85   30.72
  M15    LELO_PCH_4p8x0p36         9662    6144    48.31   30.72
