,fosc,name,type,time,OK
0,33.46438,LayGtKssThVl,Lay,Wed Sep  9 15:33:46 2026,True
1,46.28688,LayGtKffThVl,Lay,Wed Sep  9 15:33:53 2026,True
2,41.65434,LayGtKsfThVl,Lay,Wed Sep  9 15:34:00 2026,True
3,36.12449,LayGtKfsThVl,Lay,Wed Sep  9 15:34:06 2026,True
4,19.77563,LayGtKssTlVl,Lay,Wed Sep  9 15:34:13 2026,False
5,29.313109999999998,LayGtKffTlVl,Lay,Wed Sep  9 15:34:20 2026,True
6,25.97405,LayGtKsfTlVl,Lay,Wed Sep  9 15:34:27 2026,True
7,21.58861,LayGtKfsTlVl,Lay,Wed Sep  9 15:34:34 2026,True
8,32.155,LayGtKssThVh,Lay,Wed Sep  9 15:34:41 2026,True
9,43.55887,LayGtKffThVh,Lay,Wed Sep  9 15:34:49 2026,True
10,39.981,LayGtKsfThVh,Lay,Wed Sep  9 15:34:57 2026,True
11,33.97332,LayGtKfsThVh,Lay,Wed Sep  9 15:35:04 2026,True
12,20.27907,LayGtKssTlVh,Lay,Wed Sep  9 15:35:11 2026,True
13,29.73304,LayGtKffTlVh,Lay,Wed Sep  9 15:35:17 2026,True
14,26.55136,LayGtKsfTlVh,Lay,Wed Sep  9 15:35:24 2026,True
15,21.99983,LayGtKfsTlVh,Lay,Wed Sep  9 15:35:31 2026,True
