# corner   Vin[V]   fout[MHz]
ff    0.500  2.3376
ff    0.600  7.4537
ff    0.700  14.2358
ff    0.800  21.8060
ff    0.900  29.7269
ff    1.000  37.7751
ff    1.100  45.8336
ff    1.200  53.8400
ff    1.300  61.7511
ff    1.400  69.4590
ff    1.500  74.5339
ff    1.600  75.3495
ff    1.700  75.4305
ff    1.800  75.4458
tt    0.500  6.3823
tt    0.600  13.1083
tt    0.700  20.6550
tt    0.800  28.4549
tt    0.900  36.2813
tt    1.000  44.0342
tt    1.100  51.6585
tt    1.200  59.0795
tt    1.300  65.1751
tt    1.400  67.0024
tt    1.500  67.2783
tt    1.600  67.3209
tt    1.700  67.3314
tt    1.800  67.3383
ss    0.300  2.2873
ss    0.400  6.8499
ss    0.500  13.3420
ss    0.600  20.5657
ss    0.700  27.9448
ss    0.800  35.2460
ss    0.900  42.3643
ss    1.000  49.2308
ss    1.100  55.6266
ss    1.200  59.4722
ss    1.300  60.5462
ss    1.400  60.8016
ss    1.500  60.8763
ss    1.600  60.9028
ss    1.700  60.9256
ss    1.800  60.9282
